sport,teams,team,bookmaker,market,odds,fetched_at
basketball_nba,,Phoenix Suns,MyBookie.ag,h2h,2.31,2026-03-17T19:54:33.078290
basketball_nba,,Minnesota Timberwolves,MyBookie.ag,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Phoenix Suns,MyBookie.ag,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,MyBookie.ag,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,MyBookie.ag,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Minnesota Timberwolves,Bovada,h2h,1.62,2026-03-17T19:54:33.078290
basketball_nba,,Phoenix Suns,Bovada,h2h,2.35,2026-03-17T19:54:33.078290
basketball_nba,,Minnesota Timberwolves,Bovada,spreads,1.95,2026-03-17T19:54:33.078290
basketball_nba,,Phoenix Suns,Bovada,spreads,1.87,2026-03-17T19:54:33.078290
basketball_nba,,Over,Bovada,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,Bovada,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,FanDuel,h2h,1.07,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,FanDuel,h2h,9.1,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,FanDuel,spreads,1.87,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,FanDuel,spreads,1.95,2026-03-17T19:54:33.078290
basketball_nba,,Over,FanDuel,totals,1.93,2026-03-17T19:54:33.078290
basketball_nba,,Under,FanDuel,totals,1.89,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,DraftKings,h2h,1.08,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,DraftKings,h2h,8.5,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,DraftKings,spreads,1.87,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,DraftKings,spreads,1.95,2026-03-17T19:54:33.078290
basketball_nba,,Over,DraftKings,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,DraftKings,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,LowVig.ag,h2h,1.09,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,LowVig.ag,h2h,8.81,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,LowVig.ag,spreads,1.9,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,LowVig.ag,spreads,1.99,2026-03-17T19:54:33.078290
basketball_nba,,Over,LowVig.ag,totals,1.93,2026-03-17T19:54:33.078290
basketball_nba,,Under,LowVig.ag,totals,1.93,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,BetOnline.ag,h2h,1.08,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,BetOnline.ag,h2h,8.54,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,BetOnline.ag,spreads,1.87,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,BetOnline.ag,spreads,1.95,2026-03-17T19:54:33.078290
basketball_nba,,Over,BetOnline.ag,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,BetOnline.ag,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,BetRivers,h2h,1.08,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,BetRivers,h2h,8.0,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,BetRivers,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,BetRivers,spreads,1.88,2026-03-17T19:54:33.078290
basketball_nba,,Over,BetRivers,totals,1.88,2026-03-17T19:54:33.078290
basketball_nba,,Under,BetRivers,totals,1.92,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,BetUS,h2h,1.08,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,BetUS,h2h,8.5,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,BetUS,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,BetUS,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,BetUS,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,BetUS,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,BetMGM,h2h,1.08,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,BetMGM,h2h,8.5,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,BetMGM,spreads,1.87,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,BetMGM,spreads,1.95,2026-03-17T19:54:33.078290
basketball_nba,,Over,BetMGM,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,BetMGM,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,Bovada,h2h,1.07,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,Bovada,h2h,8.5,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,Bovada,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,Bovada,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,Bovada,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,Bovada,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,MyBookie.ag,h2h,1.08,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,MyBookie.ag,h2h,8.23,2026-03-17T19:54:33.078290
basketball_nba,,Denver Nuggets,MyBookie.ag,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Philadelphia 76ers,MyBookie.ag,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,MyBookie.ag,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,MyBookie.ag,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,FanDuel,h2h,7.4,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,FanDuel,h2h,1.11,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,FanDuel,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,FanDuel,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,FanDuel,totals,1.88,2026-03-17T19:54:33.078290
basketball_nba,,Under,FanDuel,totals,1.94,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,BetOnline.ag,h2h,6.74,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,BetOnline.ag,h2h,1.12,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,BetOnline.ag,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,BetOnline.ag,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,BetOnline.ag,totals,1.95,2026-03-17T19:54:33.078290
basketball_nba,,Under,BetOnline.ag,totals,1.87,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,LowVig.ag,h2h,6.9,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,LowVig.ag,h2h,1.12,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,LowVig.ag,spreads,1.94,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,LowVig.ag,spreads,1.94,2026-03-17T19:54:33.078290
basketball_nba,,Over,LowVig.ag,totals,1.98,2026-03-17T19:54:33.078290
basketball_nba,,Under,LowVig.ag,totals,1.88,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,BetUS,h2h,6.65,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,BetUS,h2h,1.12,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,BetUS,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,BetUS,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,BetUS,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,BetUS,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,DraftKings,h2h,6.75,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,DraftKings,h2h,1.12,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,DraftKings,spreads,1.89,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,DraftKings,spreads,1.93,2026-03-17T19:54:33.078290
basketball_nba,,Over,DraftKings,totals,1.95,2026-03-17T19:54:33.078290
basketball_nba,,Under,DraftKings,totals,1.87,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,BetMGM,h2h,7.0,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,BetMGM,h2h,1.11,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,BetMGM,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,BetMGM,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,BetMGM,totals,1.87,2026-03-17T19:54:33.078290
basketball_nba,,Under,BetMGM,totals,1.95,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,MyBookie.ag,h2h,6.44,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,MyBookie.ag,h2h,1.12,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,MyBookie.ag,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,MyBookie.ag,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,MyBookie.ag,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,MyBookie.ag,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,BetRivers,h2h,6.4,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,BetRivers,h2h,1.11,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,BetRivers,spreads,1.88,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,BetRivers,spreads,1.92,2026-03-17T19:54:33.078290
basketball_nba,,Over,BetRivers,totals,1.89,2026-03-17T19:54:33.078290
basketball_nba,,Under,BetRivers,totals,1.89,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,Bovada,h2h,6.25,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,Bovada,h2h,1.12,2026-03-17T19:54:33.078290
basketball_nba,,Sacramento Kings,Bovada,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,San Antonio Spurs,Bovada,spreads,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Over,Bovada,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Under,Bovada,totals,1.91,2026-03-17T19:54:33.078290
basketball_nba,,Charlotte Hornets,FanDuel,h2h,1.49,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,FanDuel,h2h,2.72,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,FanDuel,spreads,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,FanDuel,spreads,1.89,2026-03-17T19:54:38.776618
basketball_nba,,Over,FanDuel,totals,1.88,2026-03-17T19:54:38.776618
basketball_nba,,Under,FanDuel,totals,1.94,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,DraftKings,h2h,1.46,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,DraftKings,h2h,2.8,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,DraftKings,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,DraftKings,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,DraftKings,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,DraftKings,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,MyBookie.ag,h2h,1.48,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,MyBookie.ag,h2h,2.67,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,MyBookie.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,MyBookie.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,MyBookie.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,MyBookie.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,BetRivers,h2h,1.47,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,BetRivers,h2h,2.7,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,BetRivers,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,BetRivers,spreads,1.88,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetRivers,totals,1.89,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetRivers,totals,1.89,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,LowVig.ag,h2h,1.47,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,LowVig.ag,h2h,2.85,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,LowVig.ag,spreads,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,LowVig.ag,spreads,1.96,2026-03-17T19:54:38.776618
basketball_nba,,Over,LowVig.ag,totals,1.92,2026-03-17T19:54:38.776618
basketball_nba,,Under,LowVig.ag,totals,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,BetOnline.ag,h2h,1.47,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,BetOnline.ag,h2h,2.83,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,BetOnline.ag,spreads,1.89,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,BetOnline.ag,spreads,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetOnline.ag,totals,1.89,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetOnline.ag,totals,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,BetUS,h2h,1.48,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,BetUS,h2h,2.8,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,BetUS,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,BetUS,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetUS,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetUS,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,BetMGM,h2h,1.45,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,BetMGM,h2h,2.8,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,BetMGM,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,BetMGM,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetMGM,totals,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetMGM,totals,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,Bovada,h2h,1.45,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,Bovada,h2h,2.8,2026-03-17T19:54:38.776618
basketball_nba,,Charlotte Hornets,Bovada,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Miami Heat,Bovada,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,Bovada,totals,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Under,Bovada,totals,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,FanDuel,h2h,1.03,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,FanDuel,h2h,14.0,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,FanDuel,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,FanDuel,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,FanDuel,totals,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Under,FanDuel,totals,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,BetOnline.ag,h2h,1.06,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,BetOnline.ag,h2h,10.45,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,BetOnline.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,BetOnline.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetOnline.ag,totals,1.88,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetOnline.ag,totals,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,BetUS,h2h,1.06,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,BetUS,h2h,10.5,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,BetUS,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,BetUS,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetUS,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetUS,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,LowVig.ag,h2h,1.06,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,LowVig.ag,h2h,10.89,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,LowVig.ag,spreads,1.94,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,LowVig.ag,spreads,1.94,2026-03-17T19:54:38.776618
basketball_nba,,Over,LowVig.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,LowVig.ag,totals,1.96,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,DraftKings,h2h,1.06,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,DraftKings,h2h,11.0,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,DraftKings,spreads,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,DraftKings,spreads,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Over,DraftKings,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,DraftKings,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,BetMGM,h2h,1.04,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,BetMGM,h2h,12.5,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,BetMGM,spreads,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,BetMGM,spreads,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetMGM,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetMGM,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,BetRivers,h2h,1.04,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,BetRivers,h2h,11.0,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,BetRivers,spreads,1.89,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,BetRivers,spreads,1.89,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetRivers,totals,1.88,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetRivers,totals,1.92,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,MyBookie.ag,h2h,1.05,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,MyBookie.ag,h2h,10.35,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,MyBookie.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,MyBookie.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,MyBookie.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,MyBookie.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,Bovada,h2h,1.04,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,Bovada,h2h,12.0,2026-03-17T19:54:38.776618
basketball_nba,,Detroit Pistons,Bovada,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Washington Wizards,Bovada,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,Bovada,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,Bovada,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,FanDuel,h2h,1.22,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,FanDuel,h2h,4.5,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,FanDuel,spreads,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,FanDuel,spreads,1.89,2026-03-17T19:54:38.776618
basketball_nba,,Over,FanDuel,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,FanDuel,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,LowVig.ag,h2h,1.24,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,LowVig.ag,h2h,4.4,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,LowVig.ag,spreads,1.97,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,LowVig.ag,spreads,1.92,2026-03-17T19:54:38.776618
basketball_nba,,Over,LowVig.ag,totals,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Under,LowVig.ag,totals,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,BetOnline.ag,h2h,1.24,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,BetOnline.ag,h2h,4.34,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,BetOnline.ag,spreads,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,BetOnline.ag,spreads,1.88,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetOnline.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetOnline.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,DraftKings,h2h,1.22,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,DraftKings,h2h,4.5,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,DraftKings,spreads,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,DraftKings,spreads,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Over,DraftKings,totals,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Under,DraftKings,totals,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,BetUS,h2h,1.24,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,BetUS,h2h,4.33,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,BetUS,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,BetUS,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetUS,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetUS,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,BetRivers,h2h,1.25,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,BetRivers,h2h,4.0,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,BetRivers,spreads,1.93,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,BetRivers,spreads,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetRivers,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetRivers,totals,1.88,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,Bovada,h2h,1.23,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,Bovada,h2h,4.3,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,Bovada,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,Bovada,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,Bovada,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,Bovada,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,MyBookie.ag,h2h,1.23,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,MyBookie.ag,h2h,4.29,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,MyBookie.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,MyBookie.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,MyBookie.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,MyBookie.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,BetMGM,h2h,1.22,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,BetMGM,h2h,4.5,2026-03-17T19:54:38.776618
basketball_nba,,Oklahoma City Thunder,BetMGM,spreads,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Orlando Magic,BetMGM,spreads,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetMGM,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetMGM,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Indiana Pacers,FanDuel,h2h,7.4,2026-03-17T19:54:38.776618
basketball_nba,,New York Knicks,FanDuel,h2h,1.11,2026-03-17T19:54:38.776618
basketball_nba,,Indiana Pacers,FanDuel,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,New York Knicks,FanDuel,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,FanDuel,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,FanDuel,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Indiana Pacers,MyBookie.ag,h2h,7.43,2026-03-17T19:54:38.776618
basketball_nba,,New York Knicks,MyBookie.ag,h2h,1.09,2026-03-17T19:54:38.776618
basketball_nba,,Indiana Pacers,MyBookie.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,New York Knicks,MyBookie.ag,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,MyBookie.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Under,MyBookie.ag,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Indiana Pacers,DraftKings,h2h,7.0,2026-03-17T19:54:38.776618
basketball_nba,,New York Knicks,DraftKings,h2h,1.11,2026-03-17T19:54:38.776618
basketball_nba,,Indiana Pacers,DraftKings,spreads,1.93,2026-03-17T19:54:38.776618
basketball_nba,,New York Knicks,DraftKings,spreads,1.89,2026-03-17T19:54:38.776618
basketball_nba,,Over,DraftKings,totals,1.87,2026-03-17T19:54:38.776618
basketball_nba,,Under,DraftKings,totals,1.95,2026-03-17T19:54:38.776618
basketball_nba,,Indiana Pacers,BetRivers,h2h,6.5,2026-03-17T19:54:38.776618
basketball_nba,,New York Knicks,BetRivers,h2h,1.11,2026-03-17T19:54:38.776618
basketball_nba,,Indiana Pacers,BetRivers,spreads,1.89,2026-03-17T19:54:38.776618
basketball_nba,,New York Knicks,BetRivers,spreads,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Over,BetRivers,totals,1.88,2026-03-17T19:54:38.776618
basketball_nba,,Under,BetRivers,totals,1.91,2026-03-17T19:54:38.776618
basketball_nba,,Indiana Pacers,LowVig.ag,h2h,7.31,2026-03-17T19:54:38.776618
basketball_nba,,New York Knicks,LowVig.ag,h2h,1.11,2026-03-17T19:54:38.776618
